name,age,city_tier,employment_type,monthly_income,other_income,bank_avg_balance_6m,job_tenure_months,cibil_score,past_defaults,inquiries_6m,existing_emi,dti,loan_amount_requested,tenure_requested_months,insurer_present,co_applicant,loan_status,approved_amount,interest_rate,loan_type,vehicle_type,vehicle_price,down_payment,co_applicant_income,property_value,ltv,property_age,builder_grade,legal_issue_flag,tenure_years,academic_score,entrance_score,course_level,course_stream,institute_tier,country,parent_income,parent_existing_emi,parent_dti,parent_cibil,tuition_fee,living_expenses,moratorium_years,business_vintage_years,business_type,annual_revenue,net_profit_margin,cashflow_stability,owner_income,owner_cibil,existing_loan_emi,industry_risk,collateral_value,collateral_flag,requested_amount,loan_tenure_years
Suresh Verma,43,Urban,Govt,44335,,,33,782,,,9685,0.218,14324623,,,,0,0,,Home Loan,,,3396880,54429,17721503,0.808,37,A,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Verma,40,Rural,Self-Employed,53559,,,11,707,,,7675,0.143,8514633,,,,0,0,,Home Loan,,,4852037,9298,13366670,0.637,24,B,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Khan,37,Urban,Salaried,76270,,,43,718,,,14737,0.193,6687954,,,,1,5189820,12.04,Home Loan,,,4438244,4449,11126198,0.601,13,A,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Singh,43,Urban,Self-Employed,35383,,,10,646,,,5401,0.153,5654719,,,,0,0,,Home Loan,,,1507622,29167,7162341,0.79,10,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Kapoor,21,Metro,Salaried,64549,,,19,717,,,6653,0.103,5608237,,,,1,4326845,12.58,Home Loan,,,1718799,35761,7327036,0.765,31,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Jain,41,Metro,Govt,86143,,,93,619,,,28596,0.332,9376128,,,,1,7043960,12.54,Home Loan,,,4344124,29510,13720252,0.683,10,B,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Yadav,31,Metro,Salaried,27850,,,11,661,,,7443,0.267,12612212,,,,1,8802942,12.92,Home Loan,,,7276436,0,19888648,0.634,17,A,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Verma,23,Metro,Salaried,63693,,,4,778,,,3123,0.049,9802287,,,,1,7538792,12.48,Home Loan,,,3772658,28663,13574945,0.722,26,C,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Patel,40,Urban,Salaried,65198,,,3,779,,,19818,0.304,9075835,,,,0,0,,Home Loan,,,2522050,10433,11597885,0.783,17,B,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Khan,46,Urban,Self-Employed,75636,,,136,761,,,12904,0.171,11551888,,,,1,9457493,12.14,Home Loan,,,3330472,40045,14882360,0.776,22,C,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Sharma,35,Metro,Salaried,35261,,,34,692,,,11040,0.313,6801780,,,,1,5041009,12.66,Home Loan,,,3037127,35499,9838907,0.691,10,C,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Sharma,43,Metro,Self-Employed,33591,,,25,738,,,9404,0.28,1926366,,,,1,1346003,13.71,Home Loan,,,216339,15902,2142705,0.899,20,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Kapoor,47,Urban,Salaried,70439,,,80,740,,,10483,0.149,8343558,,,,1,6536504,12.31,Home Loan,,,3340082,22292,11683640,0.714,4,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Singh,45,Urban,Self-Employed,65940,,,87,682,,,519,0.008,15228298,,,,1,11923675,12.55,Home Loan,,,3966582,14112,19194880,0.793,22,A,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Yadav,47,Metro,Self-Employed,65010,,,19,815,,,6113,0.094,2865838,,,,1,2185420,12.36,Home Loan,,,1464918,29060,4330756,0.662,24,A,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Verma,41,Rural,Self-Employed,66929,,,57,784,,,12688,0.19,12305452,,,,0,0,,Home Loan,,,1804641,44327,14110093,0.872,9,B,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Verma,37,Rural,Salaried,46400,,,71,729,,,10288,0.222,3485824,,,,1,2404501,13.27,Home Loan,,,1331916,15214,4817740,0.724,21,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Yadav,25,Metro,Salaried,64645,,,51,741,,,5835,0.09,8449366,,,,1,6728238,12.3,Home Loan,,,2731360,37561,11180726,0.756,18,A,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Yadav,34,Metro,Salaried,65861,,,8,750,,,3212,0.049,2006513,,,,0,0,,Home Loan,,,830340,22046,2836853,0.707,0,A,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Verma,30,Urban,Self-Employed,45713,,,100,638,,,13359,0.292,8415401,,,,1,5873244,13.66,Home Loan,,,1141647,18107,9557048,0.881,6,C,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Jain,51,Rural,Salaried,97315,,,37,728,,,33529,0.345,11156592,,,,0,0,,Home Loan,,,4210511,28395,15367103,0.726,3,A,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Kapoor,35,Rural,Salaried,69477,,,16,706,,,12783,0.184,5562638,,,,0,0,,Home Loan,,,2041221,14471,7603859,0.732,0,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Khan,37,Metro,Salaried,36174,,,27,690,,,2174,0.06,9976893,,,,0,0,,Home Loan,,,3656430,21695,13633323,0.732,14,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Yadav,40,Metro,Salaried,73131,,,2,726,,,6970,0.095,11584896,,,,1,8814584,12.55,Home Loan,,,4528653,12032,16113549,0.719,39,C,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Sharma,36,Urban,Self-Employed,40506,,,7,830,,,261,0.006,12976726,,,,1,10140243,12.28,Home Loan,,,5639653,59471,18616379,0.697,11,B,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Patel,48,Urban,Salaried,75742,,,70,772,,,24238,0.32,3594243,,,,1,2738474,12.36,Home Loan,,,1863957,30529,5458200,0.659,21,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Reddy,32,Metro,Self-Employed,83172,,,1,711,,,3428,0.041,7033216,,,,0,0,,Home Loan,,,1553786,19504,8587002,0.819,21,A,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Yadav,37,Rural,Salaried,43586,,,26,769,,,8795,0.202,2542020,,,,0,0,,Home Loan,,,1353884,33210,3895904,0.652,16,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Kapoor,31,Urban,Salaried,79268,,,35,810,,,7603,0.096,14903281,,,,0,0,,Home Loan,,,4953906,28315,19857187,0.751,28,A,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Patel,27,Urban,Salaried,68256,,,3,786,,,13239,0.194,16321430,,,,0,0,,Home Loan,,,2291588,26685,18613018,0.877,13,C,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Yadav,32,Rural,Salaried,76441,,,174,743,,,17428,0.228,9935496,,,,0,0,,Home Loan,,,1323689,39213,11259185,0.882,19,B,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Singh,36,Urban,Salaried,97936,,,12,708,,,28442,0.29,13594291,,,,0,0,,Home Loan,,,3404342,41363,16998633,0.8,32,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Khan,33,Metro,Self-Employed,55092,,,17,775,,,3980,0.072,7242192,,,,1,5737252,12.07,Home Loan,,,3656010,22042,10898202,0.665,14,C,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Jain,31,Urban,Salaried,44925,,,17,760,,,173,0.004,8835603,,,,1,6539013,12.66,Home Loan,,,4012525,21363,12848128,0.688,11,A,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Jain,26,Metro,Self-Employed,42210,,,13,785,,,2022,0.048,1786819,,,,1,1416123,12.06,Home Loan,,,906545,25874,2693364,0.663,39,B,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Verma,35,Urban,Salaried,43684,,,1,772,,,13761,0.315,11433079,,,,1,8322969,12.96,Home Loan,,,3917059,0,15350138,0.745,19,C,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Kapoor,25,Metro,Salaried,58458,,,63,792,,,17880,0.306,2631390,,,,1,1945582,12.91,Home Loan,,,795166,7272,3426556,0.768,29,A,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Jain,41,Urban,Self-Employed,66823,,,164,713,,,13972,0.209,14287228,,,,1,10996955,12.87,Home Loan,,,2408057,50503,16695285,0.856,37,B,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Patel,37,Metro,Salaried,65534,,,12,806,,,13774,0.21,12711284,,,,0,0,,Home Loan,,,3147250,54675,15858534,0.802,2,A,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Jain,26,Metro,Salaried,76544,,,52,750,,,17817,0.233,11135957,,,,1,8593605,12.59,Home Loan,,,3330192,26264,14466149,0.77,27,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Sharma,34,Metro,Salaried,60260,,,65,844,,,3699,0.061,1473500,,,,0,0,,Home Loan,,,213547,38648,1687047,0.873,25,A,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Sharma,31,Metro,Salaried,89071,,,91,706,,,28507,0.32,5636131,,,,0,0,,Home Loan,,,1123308,34669,6759439,0.834,29,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Jain,38,Urban,Self-Employed,54707,,,26,827,,,8018,0.147,4322574,,,,1,3424170,12.24,Home Loan,,,1676565,76183,5999139,0.721,12,B,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Gupta,45,Urban,Salaried,114403,,,17,750,,,15341,0.134,5327481,,,,1,4412331,11.75,Home Loan,,,2515111,46794,7842592,0.679,12,C,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Yadav,23,Urban,Self-Employed,72513,,,19,707,,,13170,0.182,1600448,,,,1,1209898,12.24,Home Loan,,,1064764,28081,2665212,0.6,1,B,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Kapoor,37,Metro,Govt,42857,,,60,716,,,704,0.016,11658604,,,,0,0,,Home Loan,,,7143595,15667,18802199,0.62,36,C,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Sharma,35,Metro,Salaried,38582,,,81,724,,,2245,0.058,8148881,,,,0,0,,Home Loan,,,3373362,5903,11522243,0.707,37,B,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Sana Kapoor,41,Metro,Govt,69649,,,10,761,,,17991,0.258,5264493,,,,0,0,,Home Loan,,,1540469,33052,6804962,0.774,1,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Kapoor,37,Metro,Salaried,55531,,,22,766,,,1609,0.029,6057992,,,,0,0,,Home Loan,,,2484657,18655,8542649,0.709,35,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Gupta,31,Rural,Govt,74280,,,111,711,,,15681,0.211,6308799,,,,1,5098350,11.91,Home Loan,,,3188049,8666,9496848,0.664,25,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Yadav,34,Metro,Salaried,69465,,,79,739,,,5965,0.086,10729551,,,,1,8555444,12.62,Home Loan,,,1681741,20301,12411292,0.864,10,B,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Khan,30,Metro,Self-Employed,58543,,,201,847,,,7977,0.136,8390283,,,,0,0,,Home Loan,,,2407626,13777,10797909,0.777,7,C,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Sharma,44,Metro,Salaried,43064,,,67,826,,,4351,0.101,11968649,,,,1,9234960,12.23,Home Loan,,,6499798,55307,18468447,0.648,39,A,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Singh,36,Metro,Salaried,29703,,,24,762,,,3698,0.124,8195645,,,,1,6229832,12.75,Home Loan,,,2246661,43225,10442306,0.785,21,B,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Kapoor,49,Urban,Self-Employed,51070,,,43,742,,,12853,0.252,14460231,,,,1,10870192,12.67,Home Loan,,,5390771,29880,19851002,0.728,19,B,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Reddy,36,Urban,Self-Employed,77128,,,52,746,,,8021,0.104,12430519,,,,1,8259730,13.53,Home Loan,,,4746555,52199,17177074,0.724,7,B,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Jain,31,Metro,Salaried,64282,,,4,771,,,12743,0.198,4190935,,,,1,3118742,13.09,Home Loan,,,770765,31161,4961700,0.845,28,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Khan,25,Metro,Salaried,35085,,,38,689,,,5846,0.167,14783068,,,,1,11019971,12.92,Home Loan,,,3898241,17081,18681309,0.791,39,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Patel,23,Metro,Self-Employed,63464,,,59,727,,,14742,0.232,2567635,,,,1,1942385,12.84,Home Loan,,,643327,52847,3210962,0.8,25,A,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Kapoor,25,Metro,Self-Employed,67706,,,9,657,,,22200,0.328,14748468,,,,1,11072265,13.17,Home Loan,,,1783076,38084,16531544,0.892,29,A,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Sharma,38,Metro,Govt,42323,,,73,760,,,10852,0.256,7348916,,,,0,0,,Home Loan,,,882927,14441,8231843,0.893,16,A,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Jain,40,Rural,Self-Employed,63075,,,42,772,,,4745,0.075,11501662,,,,1,9775029,11.45,Home Loan,,,6179850,27145,17681512,0.65,19,B,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Gupta,25,Urban,Govt,61164,,,146,716,,,668,0.011,14310715,,,,1,11146735,12.66,Home Loan,,,3182362,16866,17493077,0.818,15,A,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Khan,42,Urban,Self-Employed,37141,,,2,819,,,3409,0.092,12145964,,,,1,10005009,12,Home Loan,,,4166619,9258,16312583,0.745,6,C,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Kapoor,33,Metro,Salaried,67156,,,15,679,,,13987,0.208,12974689,,,,1,10099564,12.65,Home Loan,,,3035889,43893,16010578,0.81,15,B,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Sharma,37,Metro,Salaried,71216,,,44,667,,,1282,0.018,4194159,,,,1,3284700,12.02,Home Loan,,,2594745,58641,6788904,0.618,26,B,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Singh,47,Urban,Self-Employed,81661,,,17,751,,,14187,0.174,2086332,,,,0,0,,Home Loan,,,451134,9021,2537466,0.822,22,A,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Yadav,42,Urban,Self-Employed,81076,,,60,792,,,16936,0.209,6675148,,,,1,5438518,12.17,Home Loan,,,1981475,38445,8656623,0.771,23,B,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Patel,34,Urban,Salaried,32447,,,68,824,,,3796,0.117,2742242,,,,0,0,,Home Loan,,,1554724,20240,4296966,0.638,8,C,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Reddy,30,Metro,Salaried,41243,,,5,717,,,11128,0.27,9195999,,,,1,6858320,12.48,Home Loan,,,5008072,22693,14204071,0.647,34,A,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabir Singh,21,Urban,Govt,70301,,,35,794,,,2623,0.037,6395340,,,,1,5142076,12.49,Home Loan,,,1180555,21114,7575895,0.844,19,A,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Singh,31,Metro,Salaried,70276,,,34,738,,,1848,0.026,12878660,,,,0,0,,Home Loan,,,6657934,17040,19536594,0.659,36,B,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Reddy,35,Rural,Salaried,70301,,,22,731,,,17917,0.255,10049162,,,,1,7374125,12.95,Home Loan,,,3129307,30728,13178469,0.763,16,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Khan,29,Urban,Salaried,137055,,,130,784,,,23768,0.173,12555302,,,,1,10200392,12.14,Home Loan,,,4071829,17536,16627131,0.755,30,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Kapoor,35,Urban,Salaried,71418,,,84,773,,,17208,0.241,3025299,,,,0,0,,Home Loan,,,492670,34057,3517969,0.86,7,A,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Singh,37,Metro,Salaried,82711,,,57,661,,,12588,0.152,15220233,,,,0,0,,Home Loan,,,2158042,29246,17378275,0.876,14,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Verma,34,Urban,Salaried,79080,,,60,814,,,6820,0.086,12632012,,,,0,0,,Home Loan,,,5900375,26416,18532387,0.682,30,B,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Sana Gupta,31,Metro,Salaried,73028,,,30,809,,,20936,0.287,7701518,,,,0,0,,Home Loan,,,2552658,16387,10254176,0.751,29,A,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Jain,37,Metro,Self-Employed,53695,,,122,709,,,15024,0.28,9626271,,,,0,0,,Home Loan,,,2892535,21348,12518806,0.769,19,C,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Khan,39,Metro,Salaried,75179,,,57,760,,,18279,0.243,10579165,,,,1,8330025,12.17,Home Loan,,,4952221,41331,15531386,0.681,38,B,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Khan,28,Urban,Self-Employed,44543,,,63,765,,,4243,0.095,2897192,,,,1,2209605,12.38,Home Loan,,,1424742,37514,4321934,0.67,11,B,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Yadav,46,Metro,Govt,55264,,,95,753,,,11416,0.207,8990995,,,,0,0,,Home Loan,,,1557760,15337,10548755,0.852,16,B,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Gupta,35,Metro,Salaried,50293,,,15,712,,,6354,0.126,6147408,,,,1,4505354,12.82,Home Loan,,,2427190,31490,8574598,0.717,29,C,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Verma,36,Rural,Self-Employed,61637,,,79,706,,,1976,0.032,3249459,,,,1,2583577,12.63,Home Loan,,,531647,41271,3781106,0.859,28,A,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Kapoor,41,Metro,Salaried,106293,,,10,739,,,34126,0.321,5385336,,,,0,0,,Home Loan,,,2597818,4959,7983154,0.675,18,C,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Verma,38,Urban,Govt,22655,,,20,799,,,1085,0.048,1613379,,,,1,1234144,12.46,Home Loan,,,681895,38150,2295274,0.703,10,B,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabir Khan,43,Metro,Salaried,73725,,,20,767,,,24520,0.333,913654,,,,1,735764,11.79,Home Loan,,,576772,20061,1490426,0.613,33,B,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Khan,38,Metro,Self-Employed,27746,,,184,721,,,4331,0.156,3137527,,,,1,2260476,13.43,Home Loan,,,430632,38559,3568159,0.879,6,B,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Singh,32,Urban,Self-Employed,50561,,,93,779,,,3276,0.065,17038935,,,,1,13315047,12.83,Home Loan,,,2260252,18551,19299187,0.883,33,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Kapoor,39,Metro,Salaried,81779,,,58,598,,,15511,0.19,9328399,,,,1,6931542,13.01,Home Loan,,,2112662,2927,11441061,0.815,19,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Patel,28,Metro,Salaried,61286,,,62,797,,,18725,0.306,15896309,,,,0,0,,Home Loan,,,3454312,5587,19350621,0.821,37,B,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Jain,37,Urban,Self-Employed,38445,,,40,653,,,9853,0.256,7612759,,,,0,0,,Home Loan,,,1604701,30721,9217460,0.826,23,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Kapoor,36,Urban,Self-Employed,45694,,,141,722,,,12899,0.282,4349446,,,,1,3218004,12.49,Home Loan,,,2575061,33896,6924507,0.628,9,B,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Reddy,35,Urban,Salaried,73592,,,33,684,,,16968,0.231,8760219,,,,0,0,,Home Loan,,,1856476,16435,10616695,0.825,31,A,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Gupta,35,Metro,Self-Employed,45393,,,23,675,,,10999,0.242,7652772,,,,1,5484732,13.29,Home Loan,,,1697950,39579,9350722,0.818,14,A,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Reddy,23,Metro,Salaried,64329,,,9,798,,,19120,0.297,2021670,,,,1,1523307,12.48,Home Loan,,,985959,5077,3007629,0.672,36,A,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Khan,32,Urban,Self-Employed,60911,,,74,717,,,5323,0.087,10080439,,,,0,0,,Home Loan,,,3095261,29009,13175700,0.765,19,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Singh,37,Urban,Salaried,46968,,,64,757,,,8046,0.171,3404784,,,,1,2623400,12.3,Home Loan,,,1699941,11835,5104725,0.667,2,B,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Verma,37,Urban,Govt,102879,,,23,738,,,7965,0.077,11244494,,,,0,0,,Home Loan,,,1527677,20222,12772171,0.88,36,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Yadav,29,Urban,Salaried,72678,,,1,764,,,25124,0.346,10065157,,,,1,7778701,12.53,Home Loan,,,3288664,30711,13353821,0.754,39,C,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Patel,45,Urban,Salaried,19497,,,88,744,,,6442,0.33,3460413,,,,0,0,,Home Loan,,,428059,17094,3888472,0.89,7,B,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Verma,30,Metro,Salaried,63729,,,1,676,,,879,0.014,1908373,,,,1,1456205,13.01,Home Loan,,,257270,24232,2165643,0.881,39,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Patel,43,Metro,Salaried,46764,,,58,790,,,11548,0.247,9945136,,,,1,7894871,11.95,Home Loan,,,5889334,45094,15834470,0.628,22,B,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Verma,39,Urban,Salaried,77049,,,169,715,,,24951,0.324,8355871,,,,1,6169036,13.19,Home Loan,,,1380337,21347,9736208,0.858,39,C,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Khan,31,Metro,Salaried,44150,,,28,662,,,2790,0.063,1558359,,,,0,0,,Home Loan,,,546753,42535,2105112,0.74,10,B,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Khan,48,Metro,Self-Employed,57705,,,13,719,,,11471,0.199,15457670,,,,0,0,,Home Loan,,,4444790,13054,19902460,0.777,7,A,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Sharma,28,Rural,Salaried,70100,,,59,815,,,22462,0.32,1669448,,,,0,0,,Home Loan,,,428383,37947,2097831,0.796,28,C,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Yadav,42,Rural,Salaried,77315,,,82,783,,,919,0.012,8950282,,,,1,7551483,11.45,Home Loan,,,5255387,51624,14205669,0.63,29,B,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Jain,43,Metro,Salaried,35994,,,38,723,,,8786,0.244,17592000,,,,1,11758915,13.99,Home Loan,,,2097900,0,19689900,0.893,9,A,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Gupta,31,Metro,Salaried,53310,,,164,723,,,5548,0.104,3885881,,,,0,0,,Home Loan,,,1658541,18047,5544422,0.701,38,A,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Verma,46,Metro,Salaried,50501,,,3,724,,,16339,0.324,2262305,,,,0,0,,Home Loan,,,1440433,38656,3702738,0.611,27,B,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Kapoor,34,Urban,Salaried,46933,,,34,844,,,15951,0.34,2420055,,,,0,0,,Home Loan,,,886259,26954,3306314,0.732,35,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Singh,38,Rural,Salaried,95309,,,61,759,,,31499,0.33,4185503,,,,1,3250052,12.09,Home Loan,,,2576725,35567,6762228,0.619,12,B,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Verma,38,Metro,Salaried,68100,,,95,762,,,11303,0.166,2582107,,,,0,0,,Home Loan,,,337763,20940,2919870,0.884,31,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Sana Singh,35,Metro,Salaried,34782,,,9,792,,,10494,0.302,10958047,,,,1,8169385,12.87,Home Loan,,,3193018,31299,14151065,0.774,35,C,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Jain,42,Rural,Salaried,78357,,,77,752,,,23162,0.296,1794770,,,,0,0,,Home Loan,,,388774,27665,2183544,0.822,36,B,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Reddy,42,Metro,Salaried,102443,,,39,727,,,11441,0.112,7269782,,,,0,0,,Home Loan,,,3409238,47517,10679020,0.681,25,A,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Singh,24,Urban,Salaried,80649,,,24,730,,,23398,0.29,12074209,,,,1,9609785,11.86,Home Loan,,,7863031,33816,19937240,0.606,21,A,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Reddy,45,Rural,Govt,29613,,,7,736,,,384,0.013,13551728,,,,1,10557286,12.68,Home Loan,,,2913707,35064,16465435,0.823,3,B,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Patel,24,Metro,Salaried,50315,,,96,738,,,10500,0.209,8929972,,,,0,0,,Home Loan,,,3759197,23822,12689169,0.704,30,B,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Jain,43,Urban,Self-Employed,85338,,,8,776,,,6870,0.081,5731700,,,,0,0,,Home Loan,,,1087119,22686,6818819,0.841,17,B,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Verma,44,Metro,Salaried,45847,,,18,743,,,1935,0.042,9388589,,,,0,0,,Home Loan,,,3465432,23512,12854021,0.73,37,A,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Reddy,28,Metro,Self-Employed,68876,,,16,777,,,1855,0.027,8379513,,,,1,6852260,12.11,Home Loan,,,2634275,35917,11013788,0.761,23,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Yadav,33,Urban,Self-Employed,75493,,,98,736,,,18398,0.244,5533739,,,,1,4326918,12,Home Loan,,,3561845,23685,9095584,0.608,22,A,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
