name,age,city_tier,employment_type,monthly_income,co_applicant_income,existing_emi,dti,cibil_score,property_value,down_payment,loan_amount_requested,ltv,property_age,builder_grade,legal_issue_flag,tenure_years,job_tenure_months,loan_status,approved_amount,interest_rate
,28.0,Metro,Salaried,61286.0,5587.0,18725.0,0.306,797.0,,3454312.0,15896309.0,0.821,37.0,B,0.0,,62.0,0.0,0.0,
,38.0,Metro,Govt,42323.0,14441.0,10852.0,0.256,760.0,8231843.0,882927.0,,0.893,16.0,A,0.0,30.0,73.0,0.0,0.0,
,,Metro,Salaried,58511.0,,3656.0,,686.0,10438570.0,3427363.0,,0.672,34.0,C,0.0,10.0,21.0,1.0,5467943.0,12.22
,58.0,Urban,Salaried,,31760.0,10508.0,0.19,774.0,9276083.0,3267607.0,6008476.0,0.648,10.0,A,0.0,20.0,73.0,0.0,0.0,
,26.0,Metro,Salaried,76544.0,26264.0,17817.0,0.233,,14466149.0,3330192.0,11135957.0,0.77,27.0,A,0.0,15.0,,1.0,8593605.0,12.59
,30.0,,Salaried,63729.0,24232.0,879.0,0.014,676.0,2165643.0,257270.0,1908373.0,0.881,39.0,A,0.0,25.0,1.0,1.0,1456205.0,13.01
,32.0,Metro,Govt,53816.0,25670.0,,0.062,798.0,12596342.0,,,0.719,0.0,A,0.0,25.0,47.0,1.0,7136663.0,
,35.0,,Salaried,,31490.0,6354.0,0.126,712.0,8574598.0,2427190.0,6147408.0,0.717,,C,0.0,20.0,15.0,1.0,4505354.0,12.82
,34.0,Urban,Govt,45603.0,33481.0,74.0,0.002,713.0,18613656.0,3994154.0,14619502.0,0.785,3.0,B,0.0,30.0,13.0,1.0,11419683.0,12.54
,35.0,Metro,Salaried,38582.0,5903.0,2245.0,0.058,724.0,11522243.0,3373362.0,,0.707,,B,0.0,25.0,81.0,0.0,0.0,
